prompt,title,essay,c1,c2,c3,c4,c5,score
4,Comenta-se que o ex-presidente Lula,"['Comenta-se que o ex presidente Lula ex-presidente Lula, no ano de 2016, após a decisão do Supremo Tribunal da Justiça Federal, foi condenado a à segunda instância e foi diante a sua acusação do lava jato de Lava Jato. Ainda mais que vários réus infratores de penalidade penalidades graves devem manter na prisão.', 'Em primeiro lugar lugar, com 726 mil presos, no o Brasil tem terceira maior população carcerária do mundo, isto é a gravidade de lotações no qual muitas vezes não possuem infraestrutura adequada para receber os condenados.', 'Além disso disso, o desembargador desembargador, após analisar a sentença, em seguida quando manter mantiver o detido, tornando a cadeia uma escola do crime isso é dificulta o processo de ressocialização dos criminosos.', 'Por fim fim, conforme o livro A politica ""Política"", de Aristósteles , acredita que a democracia e ética do ser humano e a felicidade do ser além disso quando aflige a lei da justiça deve cumprir sobre os seu atos.', 'Mediante a sintaxe, o Ministério Público Federal deve implantar apoio com o ao governo Jair Bolsonaro, apoio à prisão em segunda instância julgar se condenados devem cumprir pena na prisão ou podem aguardar em liberdade enquanto recorrem aos tribunais superiores assim sendo horas depois o julgamento.']",0,0,0,0,0,0
6,"Amazonas, um bem de todos nós","['Amazonas, sem ela ele os dias do brasil Brasil estão contados, o presidente jair bolsonaro, devia contados. O presidente Jair Bolsonaro deveria estar fazendo algo para-lhe para mostrar para nos nós, brasileiros, mais eu na verdade mas eu, na verdade, acho ele deve estar brincando com a as nossas caras.', 'Mas e ele nao Mas ele não sente o ar pesado de poluição e desmatamento, à amazonas ela desmatamento. O Amazonas é importante para uma parte do planeta, ou melhor ela melhor, ele gera oxigênio limpo e puro e puro. Mas, com esse incêndio, muitos estados de outros países vizinhos estão sofrendo com a umidade relativa do ar, à amazonas Amazonas e bem da sociedade que se importa com a natureza e também com o planeta, mais mas uma coisa é certa logo esse incêndio ira irá ser controlado e apagado para a felicidade da nacionalidade brasileira...']",0,0,0,0,0,0
42,Comprometimento Escolar e Individual,"['Eu acredito que os dois são muito importantes e um complementa o outro. O sucesso da Escola deve-se a convivência social, acesso a outras culturas e professores com qualificação e comprometimento. Convivência social: Aprende a conviver com pessoas com características diferentes, credos diferentes e outro tipo de educação, essa convivência faz com que nos tornemos mais tolerantes e menos preconceituosos. Acesso a outras Culturas: Temos muito preconceito com outras culturas pois não conhecemos, mas na escola nos ensinam que não é assim que sempre temos algo a aprender com o outro. Por outro lado o esforço individual nos mostra que é possível alcançar nossos sonhos e metas, através de interesses, curiosidades pessoais e comprometimento. Curiosidades pessoais: Aprender novos idiomas, se especializar em algo que ama fazer. Comprometimento: Definir uma meta e não desistir até alcança-la']",0,0,0,0,0,0
4,Assunto que repercute de forma constante,"['Assunto que repercute de forma constante nos atuais veículos de informações da atualidade tem gerado uma problematização constante, devido as às opiniões opostas. O tema tema, que concentra as atenções populares a à espera de uma decisão, estão voltados ao Poder Judiciário.', 'Que debatem se o réu deve ou não, ser não ser preso após condenação em 2º instância.', 'Por outro lado lado, existem aqueles que defendem a posição de quem que deve avançar o processo até o esgotamento de possibilidades do de o réu provar sua inocência. Para que então o acusado tenha sua ampla defesa e o devido processo legal.', 'Todavia Todavia, o fato de se ter prolongado o processo por 2 dois níveis judiciários de julgamento, está mais do que provado a decisão dos juízes em indeferir o caso do acusado, além do mais acaba contribuindo pela celeridade do processo nos tribunais e não fomentar a impunibilidade impunidade que existe devido ao réu não ser considerado culpado até o transito trânsito em julgado da sentença penal condenatória.', 'Por trás do fato fato, há detentores da opinião de que o Brasil é um país retrógado e impunível pelas leis e o sistema jurídico atuais atuais, que beneficiam os acusados e sentenciados, ficando assim distante de países onde as leis são severas e os índices de criminalidades são baixos.', 'Contudo para que o Brasil possa chegar a à notoriedade de um país soberano e justo, devemos nos conscientizar de que tudo começa pela aplicabilidade de normas impostas seja elas de direito oferecido e dever imposto.']",0,0,0,0,0,0
2,União entre o órgão público e a opinião pública,"['O supremo tribunal federal Supremo Tribunal Federal é definido como um órgão de alta instância do poder judiciário Poder Judiciário, capaz de defender as normas da Constituição federal. Vários problemas estão em acontecimentos, acontecendo e o STF ganha destaque sobre a população brasileira, devido ao impacto sobre a opinião pública, onde a sua atuação acaba agradando o brasileiro.', 'Devido a vários impasses acontecidos no governo, o supremo tribunal federal Supremo Tribunal Federal rege com o seu papel em defender tanto as normas brasileiras, quanto a opinião pública, colocando em pauta sobre alguns acontecimentos como criminalização sobre o livro do beijo gay, mudanças na reforma da previdência e também o impacto ambiental, no que ocasionou também um dos assuntos discutidos pela opinião brasileira.', 'Com a pesquisa do ponto de vista brasileiro sobre os impactos acontecidos e políticos, o STF acaba tendo um destaque sobre a população por exercer o seu papel de mostrar a avaliação que movimenta o órgão máximo do poder judiciário Poder Judiciário.', 'Contudo, com a convicção entre o órgão público e a opinião pública, as pesquisas podem agradar ou não os brasileiros. Sendo assim, com essa união é possível abrandar aos problemas acontecidos, construindo com educação um Brasil mais abrangente e desenvolvido.']",0,0,0,0,0,0
42,(Sem título 084),"['Hoje dependemos igualmente da qualidade de ensino e do esforço individual do aluno, pois o sucesso só é conquistado deste modo. Nos dias de hoje com inúmeros casos de alunos de baixa renda, ou alunos sem apoio familiar conseguirem o tão sonhado emprego, fica claramente explícito que com determinação e esforço o sucesso é possível. Entretanto, para o sucesso ser mais facilmente alcançado a escola tem um importante papel, a escola tem como prioridade aperfeiçoar a capacidade do aluno. Logo, com boa qualidade de ensino e grande desempenho do aluno o sucesso é facilmente alcançado.']",0,0,0,0,0,0
32,Liberdade de expressão e intimidade/limites pessoais.,"['É notório que a liberdade de expressão deve ser livre mais moderada não afetando  a intimidade de nenhum cidadão. Uma vez que a liberdade de expressão não é divulgar a vida pessoal de um individuo e as leis previnem contra tal abuso.', 'Sabe-se que a liberdade de expressão é um meio de se defender á si e a população contra algo que esta prejudicando a sociedade, assim não envolvendo a intimidade, pois um ato não envolve o outro. Se expressar é um meio de mostrar sua opinião, mas sem afetar a vida pessoal de outra pessoa, que não deve por hipótese alguma ter que sofrer tal abuso na rede.', 'Alem disso as leis ajudam á punir esses abusadores que são chamados de “hackers” que invadem informações como redes-sociais , bate-papos e contatos, expondo informações de total particularidade. Conforme a Constituição Federal de 1988, o individuo que teve sua intimidade exposta pode receber indenizações, e informações apagadas, não podendo ser divulgadas e o hacker sendo detido por abuso de informações pessoais.', 'Por tudo isso é importante esclarecer que a intimidade e a liberdade de expressão devem ser moderadas , pois pequenos detalhes podem prejudicar de imediato a vida social de uma pessoa. Sabendo disso  a mídia não deve expor tantas intimidades, a sociedade deve acusar menos e a família ajudar a essa pessoa passar por tal crise em sua vida. Pois como se diz o filosofo Paulo Freire “Não é saber mais ou saber menos. Há saberes diferentes”.']",0,0,0,0,0,0
41,Escola militar!,"['Em uma época na qual vivemos hoje, onde o maior índice de drogas é na porta das escolas, acredito que a educacao militar de forma rigida, porem aberta a ouvir os alunos, seria talvez a solucao para o problema de adolescentes com as drogas a sua disposicao e ainda diminuiria o indice de pessoas pouco qualificadas para vagas de emprego.A diciplina dos militares de certa forma deve mudar a perspectiva dos alunos em relacao a forma de levar a propria vida. Hoje tenho 26 anos e estou buscando minha formacao, se meus pais tivessem sido rigidos comigo na epoca do colegial, jamais teria deixado de estudar para trabalhar, e hoje já estaria formada e exercendo a funcao escolhida e trabalhando num cargo a nivel superior.']",0,0,0,0,0,0
25,A homofobia em pauta,"['A homofobia vem aumentando diariamente, praticada por pessoas que dispõem de uma série de informações, opiniões, mas se recusam a aceitar o próximo, sobretudo se ele for julgado como “diferente” do que é acostumado se ver. Um dado alarmante, que necessita de atenção redobrada para que ao menos possamos sonhar com uma sociedade igualitária.', 'Em 2017, até o mês de maio, 117 pessoas foram assassinadas no Brasil devido à homofobia. É um assassinato a cada 25 horas, segundo o Grupo Gay da Bahia(GGB). Em 2016, consoante a Associação Internacional de Lésbicas, Gays, Bissexuais, Transgêneros e Intersexuais, 340 LGBTs foram mortos no Brasil. Em 2015, foram registradas 318 mortes, segundo informações do grupo.', 'Vale destacar que a homofobia não se expressa apenas na ocorrência de homicídios. Os homossexuais são constantemente agredidos, tanto fisicamente, quanto através de descriminalização em locais públicos, no entanto, as vítimas não podem fazer um boletim de ocorrência por um ataque homofóbico, pois na Constituição brasileira não existe uma penalização severa, além de prestação de serviços à comunidade ou então pagamento de cestas básicas, resultando em um incentivo ao crime.', 'Muitas vezes a homofobia vem acompanhada pelo racismo, “quando se trata de negro e gay, os estigmas ficam um pouco pior, pode-se dizer que a exclusão é dupla” . Quando se é branco e tem uma boa renda, a homossexualidade é tratada de forma mais compreensiva .', 'Em virtude dos fatos mencionados pode-se concluir que, odiar alguém a ponto de matar só porque esse alguém possuiu uma orientação sexual diferente da sua, é sim uma doença a ser combatida, afinal todos tem o direito de escolher ser feliz, de poder andar de mãos dadas com a pessoa amada, sem ser tratado de forma diferente. A educação sexual deveria ser obrigatória em todos os níveis escolares; o governo necessita criar uma lei mais severa e punir exemplarmente os agressores; e conscientizar a sociedade sobre o que é respeitar, e principalmente sobre o que é amar.']",0,0,0,0,0,0
38,As descobertas através das pesquisas,"['Muitas foram as pesquisas feitas por cientistas para descobrirem a cura do câncer, um estudo por mais de duas décadas do professor Gilberto Orivalde Chierice do instituto de químico da universidade de São Paulo em São Carlos com objetivo de tratamento bem sucedido contra o câncer.', 'Pesquisas realizadas em culturas de células e animais de laboratório, a substância apresentou resultados promissores em ambos os casos promissores, e o no organismo do ser Humano mais complexos a realização de todas as pesquisas necessárias o resultado foi satisfatório, quem sabe um dia a fosfoetanolamina realmente venha fazer parte do tratamento de alguns tipos de doença.', 'Com mascaras cirurgicas e com faixas com diseres como “Tomara que você não precise da fosfo” ou “A cura do câncer existe”, manifestantes sairam na Avenida Paulista a protestar a favor da liberação da pílula .', 'Algumas pessoas fizeram o uso disseram ter notado uma melhora significativa assim a substancia poderia ser utilizada para garantir uma maior qualidade de vida. Com tudo isso sob a pressão popular, o congresso nacional e a presidente da republica decretou a lei 13.269 em 13 de Abril de 2016 autorizando o uso da substancia fosfoetanolamina sintética a chamada “pílula do câncer”.']",0,0,0,0,0,0
28,Tantos casos de conhecimento público,"['Com tantos casos vindo a conhecimento público não podemos deixar de reparar no descrédito dos brasileiros na política, sendo um desses a corrupção generalizada nos ramos da politica e economia, desmotivando toda sociedade brasileira.', 'Todavia, observando os fatos que vem ocorrendo nos últimos tempos, é notório o crescimento de escândalos envolvendo deputados, senadores, ministros e presidentes, constando corrupção, lavagem de dinheiro ,caixa dois, onde o número de envolvidos é surpreendente. Assim, como os casos que mais abalaram o Brasil, sendo eles ""Mensalão"", ""impeachment contra dois presidentes, sendo o primeiro Fernando Collor e o segundo contra Dilma Rousseff"", ""as prisões de governantes "", e as acusações contra o atual presidente Michel Temer"".', 'Espavorecidos com tais casos que são relatados diariamente nos meios de comunicação os brasileiros esperam inquietos por algo que aparenta esta distante, a solução. A falta de punição ainda lidera quase tudo sempre. O papel da justiça habita exatamente aí, em acabar com o atual quadro de letargia e fazer cumprir as leis com mais eficiência e igualdade para todas as classes.', 'Contudo, a polícia federal deve continuar agindo da sua maneira, e dessa forma os políticos tendem a ter consciência dos seus atos e antes de pensar em transferir o dinheiro público para a conta pessoal, eles deveriam investir na necessidade de maior eficiência nos recursos disponíveis, priorizando a saúde e a educação.']",0,0,0,0,0,0
0,Carnaval ou cultura,"['O carnaval Carnaval chegou ao Brasil no período colonial assim sendo colonial. Assim sendo, os escravos pintava pintavam os rostos e saiam saíam nas às ruas. Tradicionalmente aos católicos Tradicionalmente, para os católicos, é o marco do início da Quaresma Quaresma, 40 dias segue que seguem até a sexta-feira santa Sexta-feira Santa, dois Dias dias antes da Páscoa.', 'Em primeira análise, o governador Federal o Governo federal libera um valor a para cada estado ao em incentivo à cultura, empresas cultura. Empresas privadas destinam partes parte dos impostos e aplica aplicam em eventos da festa.', 'Em segunda análise análise, a brincadeira que encanta diversos turistas de toda a nação atrai, também a também, grandes riscos de vícios e desidratação aos cidadãos no desfile promovendo postos de ambulâncias e policiamento devida a negligencia devido à negligência humana ocasiona mortes acidentais.', 'Por fim, em 2020, a escola de samba de São Clemente no figurino teve o enredo o Presidente da República, embora o carnavalesco pode-se ser usado para manifestar insatisfações sociais.', 'Então, o MINSTÉRIO DA EDUCAÇÃO deve repensar, e assim repensar o evento e, assim, veria que vale mais gastar o dinheiro da festa carnavalesca com criação de mais escolas com qualidade, mais hospitais públicos, investir em saneamento básico e por fim veria que o carnal Carnaval de fato não é o símbolo da nacionalidade brasileira do século XXI.']",0,0,0,0,0,0
21,O Brasil e seus conflitos,"['É de conhecimento geral que a notícia se espalha pelo Brasil inteiro, pois a manifestação está sendo falada em todo o território nacional. Com base nos conhecimentos os caminhoneiros estão reivindicando seus direitos.', 'Em consequência disso, vê-se a todo instante reportagens que vem a julgar a manifestação, no entanto, dizem que os caminhoneiros estao causando desordem entre a população, nota-se qeos grevistas não estão apenas manifestando para si , e sim àqueles que não tiveram coragem de sair nas ruas a declarar sua indignação. Em todos os canais há notas de esclarecimento que devido a greve, está faltando remédios em hospitais, doadores, etc. Isso é praticamente um meio de não culpar os governantes e querem pôr culpa nos caminhoneiros.', 'Em virtudes dos fatos mencionados, conclui-se que há uma esperança de vida melhor assim que a greve acabar.']",0,0,0,0,0,0
