id_imagem,lote,texto_referencia,texto_transcrito
1,1,"Um pais não muda pela sua economia, sua politica  e nem mesmo sua ciencia. mas sim pela sua  cultura. A Frase do sociologo brasileiro Herbert de Souza  o Betinho , muito tem a ver com a relação entre as  pessoas e sua interação com equipamento cultural  no Brasil. Entanto , no pois , a democratização  de acesso a cultura ainda encontra empecilhos,  sejam eles por parte do Governo , que não trabalha  o suficiente para facilitar o contato com a cultura  seja por parte da escola que não estimula o  aluno a entrar aproximar-se de bens culturas  nesse contexto deve se analisar como a ineficiencia  do Estado e a omissão ecolar colaboram para afasta  o Brasileiro da cultura   Primeiramente, o baixo investimento estatal  em equipamento cultural publico e o principal  desafio na democratização do acesso á cultura no  Brasil isso acontece por que a administração  publica , ao longo das decadas , ignorou o potencial  transformador que o acesso a cultura pode forne  cer ao individou , seja ao ter a disposição  uma biblioteca publica de alto nivel seja ao assistir  uma peça teatral. Em decorrencia dessa desva  lização do Governo   Torna-se evidente , portanto , que o Estado e a  escola devem Trabalhar para democratizar o  acesso a cultura no Brasil . Em razão disso  o Ministro da Cultura deve , a fim de possibilitar  á parcela menos privilegiada dos Brasileiros  o acesso a cultura o ministro da educação  deve incluir visitas a museus e aulas de  historia da Arte no curriculo do ensino  medio e Fundamental, Assim, o acesso a  cultura no Brasil podera Finalmente ser  mais democratica e instigante para os jovens",Transcrição mockada para 1
10,1,"No Brasil evidencia-se uma segregação  cultural, surgindo assim, problemas no  conhecimento adquirido pelas classes bai-  xas. Nesse sentido, fica clara a necessi-  dade de um maior incentivo governamen-  tal   É importante destacar que em função  das políticas públicas a maior parte  da população não tem acesso a entre-  tenimento, o que bloqueia o lado cria-  tivo e racional do indivíduo. Logo, se  torna <Ilegível> sobretudo, no interior  a distribuição de livros gratuitos, visan-  do minimizar os danos já causados  devido à distância da cidade desen-  volvida.  Além disso, é importante destacar  que no nordeste encontra-se o maior  número de cidade sem biblioteca públi-  ca, sendo preocupante para as autori-  dades locais. Isso implica em problemas  para a população mais pobre, pouco  representada e atendida pelos órgãos  responsáveis.  Em síntese, o investimento deve atin-  gir a população pobre e que deve ter  incentivo. Para a minimização dos pro-  blemas decorrentes <Ilegível> que o Ministé-  rio da Educação (MEC) crie, por meio, de  verbas governamentais, campanhas publi-  citárias nos veículos de comunicação  que incentive o compartilhamento de cul-  tura e advirta os cidadãos dos ris-  cos de uma sociedade sem cultura.",Transcrição mockada para 10
11,1,"Multiculturalismo aqui no Brasil constroi uma mis-  tura entre todas culturas etinias que no caso ocorre  no território do pais. Nesse sentido o multiculturalismo,  ou pluralismo cutural é um dos termo que descreve a exis-  tência de muitas culturas numa região, cidade ou pais com  no minimo uma predominante. Hoje em dia é um movimen-  to social surgido nos estados unidos e tem como obje-  tivo principais: a luta pelos direitos civis dos grupos domi-  nados, excluidos por conta não pertence a uma cultura e  classe social considerada superior.   Por tanto o respeito ao culto de diferentes religi-  ões é na nossa sociedade em lugares em que convi-  vam de forma amistosa membros de candomblé, fiéis  de igrejas evangélicas, seguidores do catolicismo,  ateus, budistas, entre outra crenças, é um ambiente  multicultural.",Transcrição mockada para 11
12,1,"O multiculturalismo é algo que sem sombra de dúvidas está  presente no Brasil inteiro. Levando em consideração que vivemos  numa sociedade heterogênea quanto a gênero, raça religião, ""deficiências"",  padrões culturais e outros. Dessas diferenças surgem conflitos, porque  a sociedade e a escola padronizam uma cultura e raça como a  correta e a euro americana e branca.   O multiculturalismo ganhou pulso e força a nível estaduniden-  se e mundial, pois os grupos silenciados num primeiro, não calara-  m sua voz e se uniram nos movimentos negro, feminista, homossexu-  ais e a luta dos deficientes.   O não reconhecimento e respeito a identidades culturais das  nossas criam atritos; quando olhamos para determinado grupo  social e vemos esses com mais direitos do que o nosso, princi-  palmente as questões econômicas já que precisamos de oportuni-  dades para aprender e se desenvolver como ser social e profissio-  nal. E por isso que Paulo Freire defende que o fim maior da  educação deve ser desenvolvido a partir do diálogo e da con-  sciência, onde as pessoas podem lutar por sua liberdade, con-  tra a máquina opressora do capitalismo.   O multiculturalismo e a educação estão intimamente ligados,  porque ao mesmo tempo em que a escola ensina as pluralidades  culturais ela segrega os que não fazem parte daquele padrão  aceitável pelo seu sistema educacional. Propomos que esses assun-  tos estejam presentes no processo de ensino e aprendizagem desde  as primeiras series do ensino básico, na formação enfim.   Contudo somos afavor do multiculturalismo crítico, entendendo que  o respeito à vida humana, diversidade cultura é essencial. Para  a construção de um mundo de paz, como futuro educador ve-  mos na instituição escolar uma força maior que nos conduzirá  a esse processo de justiça social e democracia. Nessa vertente  é necessário o avanço de pesquisas teóricas e práticas envol-  vidas na formação de identidades e pluralidades culturais.",Transcrição mockada para 12
13,1,"A valorizacão da cultura nacional é essencial para  o sentimento de pertencimento e indentidade de um  povo. por esse Razão a constituição federal brasileira  compete ao Estado garantir a todos o pleno exercicio dos  direitos culturais e acesso as fontes da cultura nacional  apoiar e incentivar a valorizacão e a difusão das  manifestacão dos acessos aos bens da cultura  en primeiro lugar , nota-se que a desigualdade social  agrava-se cada vez mais no país , segundo o IBGE  instituto Brasileiro de geografia e Estatisca-NO 50 <Rasura>  ães de Brasileiros no limbo da pobreza   A constituicão federal de 1988 é famosa pelos direitos que ela  decreta principalmente os sociais. contudo atualmente nota-  -se que esses progressos institucionais não são observad  os en razão da antidemogratizacao do acesso a cultura  existente. isso se dá devido á administracão antietica  do estado e, paralelamente, mesmo quando o cidadão  possuí mais oportunidade de lazer, não a aproveita  por motivo de um desconforto social em virtude  da elitizacão cultural atual.",Transcrição mockada para 13
14,1,"Uma nacão democrática é caracterizada por  sua língua , respeitos às individualidades , sobe-  ranía territorial , governo e organização do  trabalho   Estes elementos e seus correlatos são referen-  ciados pela cultura , pensamento e conduta da  comunidade . Portanto, a cultura materializa  o direito de ser o que somos e de se-  expressar atravez da artecomo por exemplo  o carnaval onde acontece uma vez no ano  e é onde todos os povos e culturas se juntam  para realizar esse grande evento de patri-  mônio brasileirro Por essa razão a Cons  tituição Federal deve garantir a todos os  direitos culturais e acesso às Fontes da cultura  nacional",Transcrição mockada para 14
15,1,"""Um país não muda pela sua economia, sua  política e nem mesmo sua ciência, mas sim  pela sua cultura"". A frase do sociólogo brasi-  leiro Hebert de Souza, o Betinho, muito tem  a ver com a relação entre as pessoas e  sua interação com equipamentos culturais no  Brasil. No pais, a democratização do acesso  a cultura ainda se encontra empecilhos tan-  to na parte do governo que não trabalha  o suficiente para facilitar o contato com  à cultura.   Segundo o Instituto Brasileiro de geogra-  fia e estatística (IBGE) 13 milhões de brasi-  leiros estão desempregados, logo, é inevitáve-  l o distanciamento de tal cidadão aos eve-  ntos culturais.   Além disso, a carência de infraestrutura  principalmente nas cidades do interior im-  possibilita a harmonização dos jovens com  a educação (cultura). Com o fim de sonhar   com um futuro melhor pro nosso país é  de extrema importância que haja uma a-  tenção redrobada nesse quesito.   Dessa maneira, é importante que seja  ajustado os fatores que filtra quem pod-  e ou não frequentarr as atividades cul-  turais. Portanto, cabe ao poder executivo  concomitantemente ao ministério da cultura  criar progamas gratuitos que engolbe a  todos e invistam na criação de centros cul-  turais nos municípios mais precários para  que assim haja uma melhoria na educa-  ção futura do país.",Transcrição mockada para 15
16,1,"Muito se discute a importância da cultura de  um país, afinal essa é a essência de cada um  deles. A democratização da cultura de uma nação é  oque os torna único, e atrativo para turistas.   Igualar culturas em um país tão missigenado, deveria  ser uma tarefa simples já que convivemos com tantas  pessoas diferentes em nossa sociedade. Mesmo com os avan-  ços nos direitos, existem muitos casos de desrespeito, in-  tolerança e discriminação com participantes de determi-  nadas culturas.   Há preconceito em todos os tipos de manifestações cultu-  rais, tendo foco nas mais diferentes do padrão criado  pela população, principalmente as que envolve povos negros  que permanecem com suas tradições trazidas de  seu países. O ensino da pluralidade e diversidade do lu-  gar onde vivemos deve ser implantado nas ins-  tituições de ensino de nosso país, para apren-  dermos desde cedo a valorizar e enaltecer a  nossa cultura.   Tendo em vista as falhas governamentais, é dever  do estado por meio da Lei Rouanet (Lei federal de in-  centivo à cultura nº 8.313) incentivar a valoriza-  ção das manifestações culturais, garantindo  a todos a plena liberdade de expressar  suas culturas e costumes.",Transcrição mockada para 16
17,1,"A frase do sociólogico brasileiro Herbet de Sousa, ""um país  não muda pela sua economia, sua política e nem mesmo  sua ciência, mas sim pela sua cultura"", tem muito a ver com  a relação entre as pessoas e sua interação com equipamentos  culturais no Brasil. Desde então toda a cultura depositada ou  produzida aqui no Brasil se manteve nas mais altas classes  sociais a democratização do acesso à cultura ainda encontra  obstaculos sejam eles por parte do Governo, que não trabalha o  suficiente para facilitar o contato com a cultura seja por parte  da escola, que não estimula o aluno a <Rasura> <Rasura>  de bens culturais. nesse contexto, deve-se analisar como a inefi-  ciência do Estado e a omisão escolar colaboram para  o afastamen-  to do brasileiro da cultura.   torna-se evidente por tanto, que o estado e a escola devem  trabalhar para democratizar o acesso à cultura no Brasil. Em  razão disso, o Ministério da cultura deve, a fim de possibilitar  à parcela menos privilegiada dos brasileiros o acesso à  cultura aumentar os empasses financeiros às Secretarias  Estaduais de cultura que deverão ser usados para a constru-  ção de centros culturais nas capitais e nas cidades do interior.   Para concluir, Tais centros deverão conter biblioteca, além  de teatro para apresentações para a comunidade, além de  oficinas de artes plásticas. As demais, o Ministério da  Educação deve incluir visitas a museus e aulas de história  da arte no currículo do ensino medio e fundamental, assim  o acesso à cultura poderá finalmente ser mais democrático  no Brasil.",Transcrição mockada para 17
18,1,"A Constituição Federal de 1988 prevê o acesso às fontes da cultura na-  cional como direito básico de todo cidadão brasileiro e dever do Esta-  do. Entretanto, a garantia sobredita apresenta-se corrompida, levan-  do em conta a democratização ser uma problemática recorrente na  conjuntura brasileira. Dessa forma, são necessárias algumas medi-  das para solucionar essa questão, a qual é motivada não só pelos bai-  xos índices dos níveis de educação, mas também pela desigualdade.   Ademais, o desinteresse coletivo, configura-se como mais um proble-  ma ligado ao acesso cultural no país. Sob essa óptica no trecho ""ficar  de frente para o mar e de costas para o Brasil não vai fazer desse  lugar um bom país"", da música ""Notícias do Brasil"", de Milton Nasci-  mento constata-se uma crítica à nação brasileira por sua negligência  aos problemas sociais. De maneira análoga, os versos ganham contor-  nos espécificos no Brasil atual, pois a ausência de uma educação de  qualidade para democratização da cultura continua a perdurar. Diante  disso vê-se uma banalização do meio coletivo no tocante à problemá-  tica.   Além disso, merece ênfase o quesito estatal. De acordo com John Locke,  por meio de contrato social, o Estado deve garantir o bem-estar grupal.  Entretanto, a desigualdade contrasta com a idealização proposta pelo  filósofo tendo em vista que o Estado é ineficaz em oferecer a toda na-  ção o acesso às fontes da cultura nacional. Desse modo, para a resolu-  ção do porém, vê-se a importância da atuação do governo.   É evidente, portanto, a necessidade de medidas que solucionem os des-  afios impostos à garantia de acesso à cultura no Brasil. Por isso, faz-  se necessário o Ministério da cultura organize por meio de políticas  públicas, invista em mais eventos culturais gratuitos para toda popu-  lação. Ademais, é importante que suceda em conjunto ações do governo  com a média para divulgar diferentes culturas do país. Dessa for-  ma, tais medidas quando cumpridas formarão uma sociedade mais  crítica, ajudando na formação do caráter e da individualidade.",Transcrição mockada para 18
